Genomic bins,Domain,Phylum,Class,Order,Family,Genus,Species,Cluster
bin.55,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__QHBO01,f__QHBO01,g__JAICQM01,s__,1
bin.237,d__Bacteria,p__Actinomycetota,c__Thermoleophilia,o__Gaiellales,f__JAICJC01,g__JAICYJ01,s__,1
bin.257,d__Bacteria,p__Actinomycetota,c__Thermoleophilia,o__Gaiellales,f__JAICJC01,g__JAICYJ01,s__,1
bin.259,d__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Actinomycetales,f__Dermatophilaceae,g__Terrabacter,s__,1
bin.279,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Allosphingosinicella,s__,1
bin.252,d__Bacteria,p__Actinomycetota,c__Thermoleophilia,o__Gaiellales,f__JAICJC01,g__JAICYJ01,s__,1
bin.225,d__Bacteria,p__Actinomycetota,c__Thermoleophilia,o__Gaiellales,f__JAICJC01,g__JAICYJ01,s__,1
bin.218,d__Bacteria,p__Actinomycetota,c__UBA4738,o__UBA4738,f__HRBIN12,g__JALYLM01,s__,1
bin.45,d__Bacteria,p__Actinomycetota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__,s__,1
bin.50,d__Bacteria,p__Actinomycetota,c__Thermoleophilia,o__Gaiellales,f__JAICJC01,g__JAICYJ01,s__,1
bin.56,d__Bacteria,p__Actinomycetota,c__Thermoleophilia,o__Gaiellales,f__JAICJC01,g__JAICJC01,s__,1
bin.42,d__Bacteria,p__Actinomycetota,c__Thermoleophilia,o__Gaiellales,f__JAICJC01,g__JAICYJ01,s__,1
bin.33,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Dongiales,f__Dongiaceae,g__,s__,1
bin.39,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__JAFAXD01,s__,1
bin.281,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia coli,1
bin.76,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Rariloculales,f__Rariloculaceae,g__FEN-1219,s__,1
bin.67,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__Limnocylindrales,f__CSP1-4,g__Chersky-267,s__,1
bin.71,d__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Actinomycetales,f__Dermatophilaceae,g__,s__,1
bin.64,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__Limnocylindrales,f__CSP1-4,g__CF-46,s__,1
bin.65,d__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Mycobacteriales,f__Jatrophihabitantaceae,g__RYN-133,s__,1
bin.62,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Dongiales,f__Dongiaceae,g__,s__,1
bin.61,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__AG11,s__,1
bin.60,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomicrobium,s__,1
bin.6,d__Bacteria,p__Chloroflexota,c__Chloroflexia,o__QHBQ01,f__JADMIH01,g__,s__,1
bin.86,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Lysobacter_B,s__,1
bin.91,d__Bacteria,p__Chloroflexota,c__Chloroflexia,o__QHBQ01,f__JADMIH01,g__JADMIH01,s__,1
bin.90,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,s__,1
bin.89,d__Bacteria,p__Actinomycetota,c__Thermoleophilia,o__Gaiellales,f__JAICJC01,g__JAICYJ01,s__,1
bin.73,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__UBA4720,s__,1
bin.5,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Pseudolabrys,s__,2
bin.57,d__Bacteria,p__Planctomycetota,c__Planctomycetia,o__Pirellulales,f__JAICIG01,g__JAICIG01,s__,2
bin.215,d__Bacteria,p__Myxococcota,c__Polyangia,o__Haliangiales,f__Haliangiaceae,g__JABFXX01,s__,2
bin.160,d__Bacteria,p__Desulfobacterota_B,c__Binatia,o__UBA9968,f__UBA9968,g__DP-20,s__,2
bin.49,d__Bacteria,p__Desulfobacterota_B,c__Binatia,o__UBA9968,f__UBA9968,g__DP-1,s__,2
bin.286,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__JARBAU01,s__,2
bin.210,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA9973,f__Zambryskibacteraceae,g__UBA5004,s__,2
bin.180,d__Bacteria,p__Cyanobacteriota,c__Vampirovibrionia,o__Vampirovibrionales,f__JAGQHJ01,g__,s__,2
bin.207,d__Bacteria,p__Planctomycetota,c__Planctomycetia,o__Pirellulales,f__Pirellulaceae,g__,s__,2
bin.192,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Nitrosopolaris,s__Nitrosopolaris sp009665115,2
bin.196,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rickettsiales,f__SXRF01,g__JANYBV01,s__,2
bin.87,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Pseudolabrys,s__Pseudolabrys sp025451355,2
bin.82,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__JAFAQB01,s__,2
bin.66,d__Bacteria,p__Planctomycetota,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,g__,s__,2
bin.72,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__UBA4665,g__JARIHC01,s__,2
bin.77,d__Bacteria,p__Planctomycetota,c__Planctomycetia,o__Gemmatales,f__Gemmataceae,g__Gemmata,s__,2
bin.242,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__PSRF01,s__,2
bin.63,d__Bacteria,p__Planctomycetota,c__Planctomycetia,o__Gemmatales,f__Gemmataceae,g__Gemmata,s__,2
bin.59,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__2-12-FULL-66-21,g__JALZOC01,s__,2
bin.4,d__Bacteria,p__Acidobacteriota,c__Terriglobia,o__Terriglobales,f__Gp1-AA117,g__Angelobacter,s__,2
bin.211,d__Bacteria,p__Patescibacteria,c__Doudnabacteria,o__UBA920,f__VMFF01,g__,s__,2
bin.229,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Pseudolabrys,s__,2
bin.54,d__Bacteria,p__Myxococcota,c__UBA727,o__UBA727,f__VGSZ01,g__,s__,2
bin.147,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Micropepsales,f__Micropepsaceae,g__Rhizomicrobium,s__,3
bin.22,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__UBA7366,f__UBA7366,g__,s__,3
bin.10,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__UBA4665,g__,s__,3
bin.12,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Micropepsales,f__Micropepsaceae,g__Rhizomicrobium,s__,3
bin.23,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA9973,f__UBA2103,g__C7867-001,s__,3
bin.40,d__Bacteria,p__Chlamydiota,c__Chlamydiia,o__Chlamydiales,f__Rhabdochlamydiaceae,g__CANJJB01,s__,3
bin.266,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Micropepsales,f__Micropepsaceae,g__Rhizomicrobium,s__,3
bin.220,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Caulobacter,s__,3
bin.74,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rickettsiales,f__JABDBP01,g__,s__,3
bin.69,d__Bacteria,p__Planctomycetota,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,g__DSVQ01,s__,3
bin.270,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Terrimicrobiaceae,g__Terrimicrobium,s__,4
